Key	en	Status	ja
HANDLING_CONSTRAINT	Handling Constraint…	Uploaded	制約の処理…
FETCHING_ASSET_COLOR	Fetching Asset Color	Uploaded	アセットの色の取得
STARTING_ECV	Starting ECV	Uploaded	ECVの開始
BTA_NOTES	This amount will be billed to your current account and may take up to two billing cycles to appear on your statement.	Uploaded	この金額は現在のアカウントに請求され、明細書に表示されるまでに最大 2 請求サイクルかかる場合があります。
PACKING_MATERIALS_INCLUDED	Packing materials included: Yes	Uploaded	梱包材が含まれています: はい
RESHPREQ	Reship Request	Uploaded	再発送リクエスト
CONTACT_PREFER_NON_PBUI	If contact information needs to be updated, please connect the customer to the carrier. The claim will need to be cancelled and refiled once the address has been updated.	Uploaded	連絡先情報を更新する必要がある場合は、お客様を通信事業者に接続してください。住所が更新されたら、請求をキャンセルして再申請する必要があります。
REGISTRATION_STATUS	Registration Status	Uploaded	登録状況
SEARCH	Search	Uploaded	検索
CHECK_REIMBURSEMENT_INSTRCUTIONS_1	Will be received within 10 business days of reimbursement approval	Uploaded	払い戻し承認後 10 営業日以内に受領されます
CONTACT_WITH_LIQUID_REASON	The product has come into contact with liquid Only covered for portable products.  Ex. Laptops, Tablets	Uploaded	製品が液体と接触した場合 ポータブル製品のみが対象となります。元。ラップトップ、タブレット
PAYMENT_METHOD	Payment Method	WorkbasketUploaded	支払方法
SAVING_AMOUNT_AND_TAXES	Saving amount and taxes...	Uploaded	貯蓄額と税金…
PROBLEM_DETAILS	Problem Details	Uploaded	問題の詳細
EXPRESS_CHECKIN_ASSET_ID	Asset ID	Uploaded	アセットID
UPDATING_PHONE_IN_TANSIT_OVERRIDE_REASON	Updating Phone In Tansit Override Reason	Uploaded	Tansit オーバーライド理由で電話を更新しています
CUSTOMER_CASE_NUMBER	Customer Case Number	Uploaded	顧客ケース番号
GETTING_AGGREGATE_LIMIT_AND_FMV	Getting Aggregate Limit and FMV	Uploaded	集計制限と FMV の取得
RETAIL_OSR_FORCE_BOOK_ADD_DETAILS_TEXT	Customer will be contacted within 2 business days with repair options.	Uploaded	修理オプションについては 2 営業日以内にお客様にご連絡いたします。
CLIENTSETTLEMENT_THRID_PARTY_PAYMENT_SUBMITTED_IPD	A claim has been submitted for this customer via Third Party Payment. Resume if change is needed	Uploaded	この顧客に対する請求は、第三者支払い経由で送信されました。変更が必要な場合は再開する
PROGRAM_NAME	Program Name	Uploaded	プログラム名
UPSELL_OFFER_PA1TIER3	["If the customer is interested or wants to know more, read the following script. This script is required on every call when the customer accepts the initial Protect Advantage for 1 offer.","With Protect Advantage for 1 you also get:","- Unlimited claims for out of warranty malfunctions","- Three claims for physical damage, loss and theft in any 12 consecutive months","- Two claims in any 12 consecutive months for accidental damage from handling","There is a max device value of $3500 per claim. Replacement deductibles/service fees apply that range from $25 to $275 based on the device tier. Replacements may be AT&T Certified Restored and color, features and accessory compatibility is not guaranteed. Enrollment is optional and will auto-renew monthly until canceled. Cancel any time at att.com in your wireless account or by calling 888.562.8662 and get a refund for unearned charges. You can see program terms and repair details at anytime at phoneclaim.com/att."]	Uploaded	["顧客が興味がある場合、または詳細を知りたい場合は、次のスクリプトをお読みください。このスクリプトは、顧客が最初の Protect Advantage for 1 オファーを受け入れる場合、すべての通話で必要です。","Protect Advantage for 1 では、次の特典も得られます。" 、「- 保証対象外の故障に対する無制限の請求」、「- 連続 12 か月で物理的損傷、紛失、盗難に対する 3 件の請求」、「- 取り扱いによる偶発的な損傷については、連続 12 か月で 2 件の請求」、「請求ごとにデバイスの最大価値は 3500 ドルです。交換の免責金額/サービス料は、デバイス層に基づいて 25 ドルから 275 ドルの範囲で適用されます。交換品は AT&T Certified Restored である場合があり、色、機能、アクセサリの互換性は保証されません。登録はオプションであり、自動的に行われます。キャンセルされるまで毎月更新してください。ワイヤレス アカウントの att.com で、または 888.562.8662 に電話することで、いつでもキャンセルでき、未払い料金は返金されます。プログラムの規約と修理の詳細は、phoneclaim.com/att でいつでも確認できます。」
DEREGISTRATION_SUCCESS	Device has been deregistered successfully. Close the popup and continue with the claim.	Uploaded	デバイスは正常に登録解除されました。ポップアップを閉じて、請求を続行してください。
UPSELL_OFFER_PA1TIER4	["If the customer is interested or wants to know more, read the following script. This script is required on every call when the customer accepts the initial Protect Advantage for 1 offer.","With Protect Advantage for 1 you also get:","- Unlimited claims for out of warranty malfunctions","- Three claims for physical damage, loss and theft in any 12 consecutive months","- Two claims in any 12 consecutive months for accidental damage from handling","There is a max device value of $3500 per claim. Replacement deductibles/service fees apply that range from $25 to $275 based on the device tier. Replacements may be AT&T Certified Restored and color, features and accessory compatibility is not guaranteed. Enrollment is optional and will auto-renew monthly until canceled. Cancel any time at att.com in your wireless account or by calling 888.562.8662 and get a refund for unearned charges. You can see program terms and repair details at anytime at phoneclaim.com/att."]	Uploaded	["顧客が興味がある場合、または詳細を知りたい場合は、次のスクリプトをお読みください。このスクリプトは、顧客が最初の Protect Advantage for 1 オファーを受け入れる場合、すべての通話で必要です。","Protect Advantage for 1 では、次の特典も得られます。" 、「- 保証対象外の故障に対する無制限の請求」、「- 連続 12 か月で物理的損傷、紛失、盗難に対する 3 件の請求」、「- 取り扱いによる偶発的な損傷については、連続 12 か月で 2 件の請求」、「請求ごとにデバイスの最大価値は 3500 ドルです。交換の免責金額/サービス料は、デバイス層に基づいて 25 ドルから 275 ドルの範囲で適用されます。交換品は AT&T Certified Restored である場合があり、色、機能、アクセサリの互換性は保証されません。登録はオプションであり、自動的に行われます。キャンセルされるまで毎月更新してください。ワイヤレス アカウントの att.com で、または 888.562.8662 に電話することで、いつでもキャンセルでき、未払い料金は返金されます。プログラムの規約と修理の詳細は、phoneclaim.com/att でいつでも確認できます。」
REGISTRATION_START_DATE	Registration Start Date	Uploaded	登録開始日
UPSELL_OFFER_PA1TIER1	["If the customer is interested or wants to know more, read the following script. This script is required on every call when the customer accepts the initial Protect Advantage for 1 offer.","With Protect Advantage for 1 you also get:","- Unlimited claims for out of warranty malfunctions","- Three claims for physical damage, loss and theft in any 12 consecutive months","- Two claims in any 12 consecutive months for accidental damage from handling","There is a max device value of $3500 per claim.  Replacement deductibles/service fees apply that range from $25 to $275 based on the device tier.  Replacements may be AT&T Certified Restored and color, features and accessory compatibility is not guaranteed.   Enrollment is optional and will auto-renew monthly until canceled.  Cancel any time at att.com in your wireless account or by calling 888.562.8662 and get a refund for unearned charges.  You can see program terms and repair details at anytime at phoneclaim.com/att."]	Uploaded	["顧客が興味がある場合、または詳細を知りたい場合は、次のスクリプトをお読みください。このスクリプトは、顧客が最初の Protect Advantage for 1 オファーを受け入れる場合、すべての通話で必要です。","Protect Advantage for 1 では、次の特典も得られます。" 、「- 保証対象外の故障に対する無制限の請求」、「- 連続 12 か月で物理的損傷、紛失、盗難に対する 3 件の請求」、「- 取り扱いによる偶発的な損傷については、連続 12 か月で 2 件の請求」、「請求ごとにデバイスの最大価値は 3500 ドルです。交換の免責金額/サービス料は、デバイス層に基づいて 25 ドルから 275 ドルの範囲で適用されます。交換品は AT&T Certified Restored である場合があり、色、機能、アクセサリの互換性は保証されません。登録はオプションであり、自動的に行われます。キャンセルされるまで毎月更新してください。ワイヤレス アカウントの att.com で、または 888.562.8662 に電話することで、いつでもキャンセルでき、未払い料金は返金されます。プログラムの規約と修理の詳細は、phoneclaim.com/att でいつでも確認できます。」
CREATING_ATL_WORKBASKET_REQUEST	Creating ATL Workbasket request	Uploaded	ATL ワークバスケット リクエストの作成
UPSELL_OFFER_PA1TIER2	["If the customer is interested or wants to know more, read the following script. This script is required on every call when the customer accepts the initial Protect Advantage for 1 offer.","With Protect Advantage for 1 you also get:","- Unlimited claims for out of warranty malfunctions","- Three claims for physical damage, loss and theft in any 12 consecutive months","- Two claims in any 12 consecutive months for accidental damage from handling","There is a max device value of $3500 per claim. Replacement deductibles/service fees apply that range from $25 to $275 based on the device tier. Replacements may be AT&T Certified Restored and color, features and accessory compatibility is not guaranteed. Enrollment is optional and will auto-renew monthly until canceled. Cancel any time at att.com in your wireless account or by calling 888.562.8662 and get a refund for unearned charges. You can see program terms and repair details at anytime at phoneclaim.com/att."]	Uploaded	["顧客が興味がある場合、または詳細を知りたい場合は、次のスクリプトをお読みください。このスクリプトは、顧客が最初の Protect Advantage for 1 オファーを受け入れる場合、すべての通話で必要です。","Protect Advantage for 1 では、次の特典も得られます。" 、「- 保証対象外の故障に対する無制限の請求」、「- 連続 12 か月で物理的損傷、紛失、盗難に対する 3 件の請求」、「- 取り扱いによる偶発的な損傷については、連続 12 か月で 2 件の請求」、「請求ごとにデバイスの最大価値は 3500 ドルです。交換の免責金額/サービス料は、デバイス層に基づいて 25 ドルから 275 ドルの範囲で適用されます。交換品は AT&T Certified Restored である場合があり、色、機能、アクセサリの互換性は保証されません。登録はオプションであり、自動的に行われます。キャンセルされるまで毎月更新してください。ワイヤレス アカウントの att.com で、または 888.562.8662 に電話することで、いつでもキャンセルでき、未払い料金は返金されます。プログラムの規約と修理の詳細は、phoneclaim.com/att でいつでも確認できます。」
NICK_NAME	Nick Name	Uploaded	ニックネーム
WITHIN_5_BUSINESS_DAYS	within 5 business days	Uploaded	5営業日以内
PROCESSING_BULK_REFUND	Processing Bulk Refund…	Uploaded	一括返金処理中…
WAIVE_DEDUCTIBLE	Waive Deductible?	Uploaded	控除を免除しますか?
ORIGIN	Origin	Uploaded	起源
PBL_MODAL_INSTRUCTION_MESSAGE	When customer has completed their payment click continue Note: Customer will see $0 as the service fee amount when submitting the payment.  The $0 amount is because we are only doing a pre-auth on the card when creating the claim. 	Uploaded	お客様が支払いを完了したら、「続行」をクリックします 注: 支払いを送信すると、顧客にはサービス手数料額として 0 ドルが表示されます。金額が 0 ドルなのは、請求の作成時にカードの事前認証のみを行っているためです。
COUNTER_DAYS	day(s)	Uploaded	日々）
LENGTH_RANGE_0_TO_9_INCHES	0-9 inches	Uploaded	0～9インチ
CREDIT_CARD_COMPONENT_DETAILS	Please fill in card information provided by customer	Uploaded	お客様から提供されたカード情報を入力してください
UPDATING_PROFILE	Updating Profile	Uploaded	プロフィールの更新
UPDATING_SELECTED_SHIPPING_METHOD	Updating selected Shipping Method	Uploaded	選択した配送方法を更新しています
MAIL_IN_REPAIR	Mail-In Repair	Uploaded	郵送修理
REGISTERING_DEVICE	Registering device	Uploaded	デバイスの登録
EXPRESS_CHECKIN_INCIDENT_DESCRIPTION	Incident Description	Uploaded	事件の説明
CONTINUE	Continue	Uploaded	続く
SCREEN_SIZE	Screen Size	Uploaded	画面サイズ
DATE_AND_TIME_OF_LAST_INTERACTION	Date & Time of Last interaction	Uploaded	最後のインタラクションの日付と時刻
FETCHING_QUESTIONNAIRES	Fetching Questionnaires	Uploaded	アンケートの取得
CREATING_REISSUE	Creating Reissue	Uploaded	再発行の作成
SELECT_PROFILE	Select Profile	Uploaded	プロファイルの選択
CALL_REASON_REGISTRATION	Registration	Uploaded	登録
NOT_AVAILABLE	N/A	Uploaded	該当なし
PBL_MODAL_PAY_RJCTD_ERROR_RETAIL_MSG	The card entered was rejected by the payment processor. Please click on "Change Information" to resend the link and request the customer try a different card	Uploaded	入力されたカードは支払い処理業者によって拒否されました。 [情報の変更] をクリックしてリンクを再送信し、お客様に別のカードを試してもらうよう依頼してください。
CURRENT_REGISTRATION_STATUS	Current Registration Status	Uploaded	現在の登録状況
ADD_DTLS_TOOL_TIP_TEXT	Any additional details for a successful repair. For example, any additional issues that were not already selected.	Uploaded	修復を成功させるための追加の詳細。たとえば、まだ選択されていない追加の問題などです。
FETCHING_ASSET_HISTORY	Fetching Asset History	Uploaded	アセット履歴の取得
CASE_NUMBER	Case Number	Uploaded	事件番号
EMAIL	Email	Uploaded	Eメール
ASSET_ID	Asset Id	Uploaded	アセットID
EXPRESS_CHECKIN_WHAT_HAPPENED?	What happened?	Uploaded	どうしたの？
FETCHING_CLIENT_CONFIGURATIONS	Fetching client configurations	Uploaded	クライアント構成の取得
DEVICE_NICKNAME	Device Nickname	Uploaded	デバイスのニックネーム
PRODUCT	Product	Uploaded	製品
FETCHING_ASSET_DETAILS	Fetching Asset Details	Uploaded	アセットの詳細の取得
EXPRESS_CHECKIN_ASSET_VERIFIED	Asset Verified	Uploaded	資産検証済み
VERIFICATION_CODE	Verification Code	Uploaded	検証コード
SMART_PIN_UNAVAILABLE	Not able to receive emails or texts	Uploaded	メールやテキストメッセージが受信できない
SCRIPT_TO_ANSWER_WHY_SHOULD_I_PAY_DEDUCTIBLE	Paying a low monthly fee gives you the option of paying a small deductible to have your phone replaced and activated versus paying full retail price plus an activation fee in the event you need to file a claim.	Uploaded	低額の月額料金を支払うことで、携帯電話の交換とアクティベーションに少額の免責金額を支払うことができ、請求を提出する必要がある場合に小売価格の全額とアクティベーション料金を支払うことができます。
UPDATING_REPLACEMENT_ORDER	Updating Replacement Order	Uploaded	交換注文の更新
ASSET_NOT_SELECTED_ERROR	Please select asset to continue	Uploaded	続行するにはアセットを選択してください
VERIFIED_BY_PRIMARY_ACCOUNT_HOLDER	Verified by primary account holder	Uploaded	主要アカウント所有者による確認済み
DAMAGE	Damage	Uploaded	ダメージ
FETCHING_INCIDENT_PATHS	Fetching Incident Paths	Uploaded	インシデントパスの取得
SELECTED_METHOD	Selected Method	Uploaded	選択された方法
OTHER_ASSET_LABEL	Caller Provides Other Asset	Uploaded	呼び出し元が他のアセットを提供する
ATTEMPTING_TO_TRANSFER_TO_IVR	Attempting to transfer to IVR…	Uploaded	IVR に転送しようとしています…
START_INCIDENT	Start Incident	Uploaded	インシデントの開始
CLAIM_SUBMITTED_IPD	A claim has already been submitted for this customer.'	Uploaded	この顧客についてはすでに請求が提出されています。」
PAYMENT_DECLINED_UPDATE_BILLING_DETAILS	Payment was declined.  Update the billing details or try a different payment method.	Uploaded	支払いが拒否されました。請求の詳細を更新するか、別の支払い方法を試してください。
FETCHING_ASSET_MAKE	Fetching Asset Make	Uploaded	アセットメイクの取得
APP_LABELS_CHANGE_FULFILLMENT_OPTION	Change Fulfillment Option	Uploaded	フルフィルメントオプションの変更
BASE_QUESTION_ERROR_LABEL	Reason is required	Uploaded	理由は必須です
CARD_NUMBER	Card Number	Uploaded	カード番号
MAX_PIN_ATTEMPT_REACHED	The maximum number of attempts to validate using Security Verification PIN has been reached. Please proceed to the next verification method if available.	Uploaded	セキュリティ検証 PIN を使用した検証の最大試行回数に達しました。利用可能な場合は、次の確認方法に進んでください。
SUBMITTING_REFUND	Submitting Refund	Uploaded	返金の送信
CHANGE_STORE	Change Store	Uploaded	ストアを変更する
REQUEST_SENT_TO_WORKBASKET	Request is sent to {workbasketType} Workbasket	Uploaded	リクエストは {workbasketType} ワークバスケットに送信されます
CANNOT_VERIFY_CALLER_BUTTON	Cannot Verify Caller	Uploaded	発信者を確認できません
UPDATE_AND_CONTINUE	Update & Continue	Uploaded	更新して続行
SENDING_VERIFICATION_CODE	Sending Verification Code	Uploaded	認証コードの送信
WALK_IN_REPAIR	Walk-In Repair	Uploaded	持ち込み修理
IMEI	IMEI	Uploaded	IMEI
EXPRESS_CHECKIN_PHONE_NUMBER	Phone Number	Uploaded	電話番号
PHONE_LABEL	Phone	Uploaded	電話
THRID_PARTY_PAYMENT_SUBMITTED_IPD	A replacement claim has been submitted for this customer via Third Party Payment. Resume if change is needed	Uploaded	この顧客に対して、サードパーティ支払い経由で交換請求が送信されました。変更が必要な場合は再開する
START	Start	Uploaded	始める
STDEXCH	STDEXCH	Uploaded	STDEXCH
OTHER_COLOR_PREFERED	Other Color Prefered	Uploaded	他の色の優先
ORIGINAL	original	Uploaded	オリジナル
RETURN_FEE_TAX_LABEL	+ Taxes(only if applicable)	Uploaded	+ 税金(該当する場合のみ)
VIEW_HOLDS	View Holds	Uploaded	保留を表示する
ERROR_GENERIC_MESSAGE	Payment Details Error: either form failure and/or process payment error	Uploaded	支払い詳細エラー: フォームの失敗または支払い処理エラー、あるいはその両方
CARRIER	Carrier	Uploaded	キャリア
BANK_ACCOUNT_NUMBER	Bank Account Number	Uploaded	銀行の口座番号
UPDATE_ASSET_DETAILS	Update Asset Details	Uploaded	アセットの詳細を更新する
AGRMT_ID	Agrmt ID	Uploaded	アグリメントID
SMALL_PARTS_VALIDATION_ERROR	Please select at least one checkbox and at least one sub checkbox (if applicable)	Uploaded	少なくとも 1 つのチェックボックスと少なくとも 1 つのサブ チェックボックスを選択してください (該当する場合)
LOCKED	Locked	Uploaded	ロックされています
CUSTOMER_NOT_HAPPY	Customer Not Happy ヽ(ಠ_ಠ)ノ	Uploaded	お客様にご満足いただけませんでしたヽ(ಠ_ಠ)ノ
CANCEL_INCIDENT	Cancel Incident	Uploaded	インシデントのキャンセル
RESOLUTION	Resolution	Uploaded	解決
CONTACT_PHONE	Contact Phone	Uploaded	連絡先電話番号
ENRICHING_DATA	Enriching data...	Uploaded	データを充実させています...
WITHIN_2_HOURS	within 2 hours	Uploaded	2時間以内
BILLING_VERIFICATION_QUESTION	Does subscriber response match?	Uploaded	加入者の応答は一致していますか?
NEW_CARD_INNER_MSG	Please inform the customer to provide different card details or choose another payment option if applicable	Uploaded	別のカードの詳細を提供するか、該当する場合は別の支払いオプションを選択するようお客様に伝えてください。
LENGTH_RANGE_ABOVE_18_INCHES	18 inches and up	Uploaded	18インチ以上
VERIZON_QUESTION_MESSAGE_4	We want to help you avoid these fees, so were going to ask some probing questions to determine the best path to get you up and running.	Uploaded	私たちは、お客様がこれらの料金を回避できるよう支援したいと考えており、お客様が稼働するための最適な方法を決定するために、いくつかの詳細な質問をするつもりでした。
DEDUCTIBLE_SCRIPT_SAY_VIRGIN	Asurion operates like most insurance companies where an excess fee is required for each filed claim. The excess fee should have been explained to you when you purchased the policy. However, If you would like to review your policy terms and conditions you can visit “www.virginmedia.com/protect”. Once you read about your policy terms and conditions you can either contact us or complete your claim online.	Uploaded	Asurion は、提出された請求ごとに超過料金が必要となるほとんどの保険会社と同様に運営されています。超過料金については、保険を購入したときに説明されているはずです。ただし、ポリシーの利用規約を確認したい場合は、「www.virginmedia.com/protect」にアクセスしてください。保険契約条件をお読みになったら、当社にご連絡いただくか、オンラインで請求を完了してください。
FIELD_INFO_NUMBER_ONLY	Only numbers are allowed	Uploaded	数字のみが許可されます
SMS	SMS	Uploaded	SMS
VERIZON_QUESTION_MESSAGE_3	Fees may be up to $500.00.	Uploaded	手数料は最大 $500.00 となる場合があります。
VERIZON_QUESTION_MESSAGE_2	Fees may be up to $500.00.	Uploaded	手数料は最大 $500.00 となる場合があります。
VERIZON_QUESTION_MESSAGE_1	We inspect return devices	Uploaded	返品機器を検査します
PHONE_NUMBER	Phone Number	Uploaded	電話番号
UPDATING_REIMBURSEMENT_ORDER	Updating Reimbursement Order	Uploaded	払い戻し注文の更新
LAST_NAME	Last Name	Uploaded	苗字
EXPRESS_CHECKIN_PERIL_DATE	Peril Date	Uploaded	危険日
COMMENT	Comment	Uploaded	コメント
AGENT	Agent	Uploaded	エージェント
EPAPER_TOKEN	EPaper Token	Uploaded	Eペーパートークン
OTHER_ASSET_WARNING_MSSG	Selected claim Model is not the Enrolled Asset at the time of loss. Please verify the claimed Asset and peril Date to prevent incorrect submission and verification.	Uploaded	選択した請求モデルは、損失時に登録された資産ではありません。誤った提出や検証を防ぐために、請求された資産と危険日を確認してください。
CONTINUING_WITH_LAST_ELIGIBLE_CLAIM	Continuing with Last Eligible Claim	Uploaded	最後の適格な請求の続き
FETCHING_QUESTIONNAIRE_TRANSACTION_RESULTS	Fetching Questionnaire Transaction Results	Uploaded	アンケートトランザクション結果の取得
CONCURRENCY_MESSAGE	This claim has been modified by another user.  Please click Ok then Resume to complete the claim with the updated information.	Uploaded	この主張は別のユーザーによって変更されました。 [OK] をクリックしてから [再開] をクリックし、更新された情報で請求を完了してください。
UPDATE	Update	Uploaded	アップデート
CLAIM_STATUS	Claim Status	Uploaded	請求ステータス
QUERY_WHY_SHOULD_I_PAY_SERVICE_FEE	なぜ月額料金を払ってサービス料を支払わなければならないのかと顧客から尋ねられたら、何と答えればよいでしょうか	Uploaded	とりあえず料金を決めてサービス料金を支払わなければのかと顧客から考えられたら、何を答えればよいでしょうか
FETCHING_ASSET_CARRIER	Fetching Asset Carrier	Uploaded	アセットキャリアの取得
TABLET	Tablet	Uploaded	タブレット
CLIENT	Client	Uploaded	クライアント
CREATE_ENROLLMENT_BUTTON	Create Enrollment	Uploaded	登録の作成
BILLING_VERIFICATION_FAILED	Unfortunately, we cannot continue processing your claim until you are able to validate your account. You may reset your Verizon account PIN at vzw.com/pin	Uploaded	残念ながら、お客様のアカウントが認証されるまで、お客様の請求の処理を続行することはできません。 Verizon アカウントの PIN は vzw.com/pin でリセットできます。
DEDUCTIBLE_PUSHBACK	Deductible Pushback	Uploaded	控除可能なプッシュバック
CONSTRAINT_UPDATED_MESSAGE	Hold has been modified. Please click Ok then Resume to complete the claim with the updated information.	Uploaded	ホールドが変更されました。 [OK] をクリックしてから [再開] をクリックし、更新された情報で請求を完了してください。
PAYMENT_ERROR_TRY_DIFFERENT_CARD	Please try again with different card	Uploaded	別のカードでもう一度お試しください
FETCHING_PAYMENT_DETAILS	Fetching payment details	Uploaded	支払い詳細の取得
IN_HOME_REPAIR	In-Home	Uploaded	自宅で
LOADING_DEVICE_EXTENSION_DETAILS	Loading device extension details	Uploaded	デバイス拡張機能の詳細をロードしています
CREATED_DATE	Created Date	Uploaded	作成日
NOT_SATISFIED_WITH_DEVICE	Not satisfied with the device	Uploaded	デバイスに満足していない
CHECK_#	Check #	Uploaded	チェック ＃
EDIT_FEE	Edit Fee	Uploaded	編集料金
STATUS	Status	Uploaded	状態
